year,trapping_season,eartag,block,plot,species,rodent_treatment,burn_treatment
2018,spring,2267,2,C1,PEMA,control,control
2018,spring,2241,2,C1,PEMA,control,control
2018,spring,2266,2,C1,DIMI,control,control
2018,spring,2265,2,C1,PEMA,control,control
2018,spring,2264,2,UN,PEMA,rodent_exclusion,unburned
2018,spring,2263,2,US,PEMA,rodent_control,unburned
2018,spring,2262,2,US,PEMA,rodent_control,unburned
2018,spring,2252,2,US,PEMA,rodent_control,unburned
2018,spring,2226,2,US,PEMA,rodent_control,unburned
2018,spring,2224,2,US,DIMI,rodent_control,unburned
2018,spring,2203,2,C2,PEMA,control,control
2018,spring,2202,2,C2,PEMA,control,control
2018,spring,2205,2,C2,PEMA,control,control
2018,spring,2222,2,C2,PEMA,control,control
2018,spring,2219,3,C2,PEMA,control,control
2018,spring,2215,4,UN,PEMA,rodent_exclusion,unburned
2018,spring,2206,4,UN,PEMA,rodent_exclusion,unburned
2018,spring,2207,4,UN,PEMA,rodent_exclusion,unburned
2018,spring,2209,4,C1,PEMA,control,control
2018,spring,2208,4,C1,PEMA,control,control
2018,spring,2210,4,C1,PEMA,control,control
2018,spring,2213,4,US,PEMA,rodent_control,unburned
2018,spring,2212,4,US,PEMA,rodent_control,unburned
2018,spring,2211,4,US,PEMA,rodent_control,unburned
2018,spring,2276,4,C2,PEMA,control,control
2018,spring,2104,1,BS,DIOR,rodent_control,burned
2018,spring,2742,1,BS,PEMA,rodent_control,burned
2018,spring,2726,1,BS,DIOR,rodent_control,burned
2018,spring,2119,1,US,PEMA,rodent_control,unburned
2018,spring,2727,1,UN,PEMA,rodent_exclusion,unburned
2018,spring,2126,1,UN,PEMA,rodent_exclusion,unburned
2018,spring,2108,1,C1,PEMA,control,control
2018,spring,2120,1,C1,PEMA,control,control
2018,spring,2980,1,C1,PEMA,control,control
2018,spring,2723,1,C2,PEMA,control,control
2018,spring,2722,1,C2,DIOR,control,control
2018,spring,2134,3,US,PEMA,rodent_control,unburned
2018,spring,2151,3,US,PEMA,rodent_control,unburned
2018,spring,2176,3,US,PEMA,rodent_control,unburned
2018,spring,2721,3,BS,PEMA,rodent_control,burned
2018,spring,2120,3,BS,PEMA,rodent_control,burned
2018,spring,2057,3,BS,PEMA,rodent_control,burned
2018,spring,2718,3,UN,PEMA,rodent_exclusion,unburned
2018,spring,2717,3,UN,PEMA,rodent_exclusion,unburned
2018,spring,2775,3,C2,PAPA,control,control
2018,spring,2800,3,C2,PAPA,control,control
2018,spring,2799,4,C1,PAPA,control,control
2018,spring,2750,4,C1,PEMA,control,control
2018,spring,2798,4,C1,PEMA,control,control
2018,spring,2774,4,UN,PEMA,rodent_exclusion,unburned
2018,spring,no_ears,4,BS,DIOR,rodent_control,burned
2018,spring,2772,4,C1,DIOR,control,control
2018,spring,2771,4,UN,PEMA,rodent_exclusion,unburned
2018,spring,2749,4,UN,PEMA,rodent_exclusion,unburned
2018,spring,2293,1,US,PEMA,rodent_control,unburned
2018,spring,2291,1,US,PEMA,rodent_control,unburned
2018,spring,2240,1,C1,PEMA,control,control
2018,spring,2800,1,UN,PAPA,rodent_exclusion,unburned
2018,spring,2239,1,UN,PEMA,rodent_exclusion,unburned
2018,spring,2288,1,UN,PEMA,rodent_exclusion,unburned
2018,spring,2281,1,UN,PEMA,rodent_exclusion,unburned
2018,spring,2253,1,C2,PEMA,control,control
2018,spring,2254,1,C2,PEMA,control,control
2018,spring,2724,1,C2,PEMA,control,control
2018,spring,2282,1,C2,PEMA,control,control
2018,spring,2283,2,C1,PEMA,control,control
2018,spring,2284,2,C1,PEMA,control,control
2018,spring,2255,2,C1,PEMA,control,control
2018,spring,2285,2,C1,PEMA,control,control
2018,spring,2241,2,UN,PEMA,rodent_exclusion,unburned
2018,spring,2126,2,UN,PEMA,rodent_exclusion,unburned
2018,spring,2258,2,UN,PEMA,rodent_exclusion,unburned
2018,spring,2286,2,UN,PEMA,rodent_exclusion,unburned
2018,spring,2223,2,BS,DIMI,rodent_control,burned
2018,spring,2287,5,C1,DIMI,control,control
2018,spring,2237,5,C2,PAPA,control,control
2018,spring,2210,5,C2,PEMA,control,control
2018,spring,2762,5,UN,PEMA,rodent_exclusion,unburned
2018,spring,2206,5,C2,PEMA,control,control
2018,spring,2207,5,C2,PEMA,control,control
2018,spring,2764,5,UN,PEMA,rodent_exclusion,unburned
2018,spring,2799,5,C2,PAPA,control,control
2018,spring,2749,4,US,PEMA,rodent_control,unburned
2018,spring,2763,4,US,DIMI,rodent_control,unburned
2018,spring,2766,4,US,PEMA,rodent_control,unburned
2018,spring,2765,4,BN,PEMA,rodent_exclusion,burned
2018,spring,2768,4,BS,DIMI,rodent_control,burned
2018,spring,2767,4,BS,PEMA,rodent_control,burned
2018,spring,2770,4,C1,PEMA,control,control
2018,spring,2702,4,C1,PEMA,control,control
2018,spring,2769,4,C1,PEMA,control,control
2018,spring,2271,4,C1,DIMI,control,control
2018,spring,2798,4,UN,PEMA,rodent_exclusion,unburned
2018,spring,2728,4,C2,PEMA,control,control
2018,spring,2751,4,C2,PEMA,control,control
2018,spring,2750,4,C2,PEMA,control,control
2018,spring,2753,4,C2,PEMA,control,control
2018,spring,2260,2,BN,PEMA,rodent_exclusion,burned
2018,spring,2261,2,BN,PEMA,rodent_exclusion,burned
2018,spring,2230,3,BS,PEMA,rodent_control,burned
2018,spring,2262,3,BS,PEMA,rodent_control,burned
2018,spring,2259,3,BS,DIMI,rodent_control,burned
2018,spring,2231,3,UN,PEMA,rodent_exclusion,unburned
2018,spring,2712,3,UN,PEMA,rodent_exclusion,unburned
2018,spring,2232,3,UN,PEMA,rodent_exclusion,unburned
2018,spring,2293,3,UN,PEMA,rodent_exclusion,unburned
2018,spring,2292,3,US,PEMA,rodent_control,unburned
2018,spring,2234,3,US,PEMA,rodent_control,unburned
2018,spring,2236,3,US,PEMA,rodent_control,unburned
2018,spring,2775,3,C1,PAPA,control,control
2018,spring,2233,3,C1,PEMA,control,control
2018,spring,2276,3,C2,PEMA,control,control
2018,spring,2238,4,BN,PEMA,rodent_exclusion,burned
2018,spring,2279,4,US,PEMA,rodent_control,unburned
2018,spring,2202,4,US,PEMA,rodent_control,unburned
2018,spring,2209,4,BS,PEMA,rodent_control,burned
2018,spring,2235,4,BS,PEMA,rodent_control,burned
2018,spring,2289,2,BS,PEMA,rodent_control,burned
2018,spring,2720,2,C2,PEMA,control,control
2018,spring,2201,2,C2,PAPA,control,control
2018,spring,2202,2,US,PEMA,rodent_control,unburned
2018,spring,2290,2,US,PEMA,rodent_control,unburned
2018,spring,2263,2,BN,PEMA,rodent_exclusion,burned
2018,spring,2797,2,US,DIMI,rodent_control,unburned
2018,spring,2286,2,US,PEMA,rodent_control,unburned
2018,spring,2252,2,BS,PEMA,rodent_control,burned
2018,spring,2721,2,C2,PEMA,control,control
2018,spring,2259,2,C2,DIMI,control,control
2018,spring,2776,3,C2,PAPA,control,control
2018,spring,2777,3,C2,PEMA,control,control
2018,spring,2215,5,BN,PEMA,rodent_exclusion,burned
2018,spring,2778,5,US,PEMA,rodent_control,unburned
2018,spring,2213,5,US,PEMA,rodent_control,unburned
2018,spring,2211,5,US,PEMA,rodent_control,unburned
2018,spring,2210,5,US,PEMA,rodent_control,unburned
2018,spring,2206,5,UN,PEMA,rodent_exclusion,unburned
2018,spring,2779,5,UN,PEMA,rodent_exclusion,unburned
2018,spring,2209,5,C1,PEMA,control,control
2018,spring,2292,5,C1,PEMA,control,control
2018,spring,2207,5,C1,PEMA,control,control
2018,spring,2780,5,C1,PAPA,control,control
2018,spring,2799,5,C1,PAPA,control,control
2018,spring,2781,5,C2,PEMA,control,control
2018,spring,2782,5,C2,PEMA,control,control
2018,spring,2783,5,C2,DIMI,control,control
2018,spring,2784,5,C2,PEMA,control,control
2018,spring,2786,5,C2,PEMA,control,control
2018,spring,2282,1,C1,PEMA,control,control
2018,spring,2724,1,C1,PEMA,control,control
2018,spring,2281,1,C1,PEMA,control,control
2018,spring,2253,1,C1,PEMA,control,control
2018,spring,2254,1,C1,PEMA,control,control
2018,spring,2722,1,C1,DIMI,control,control
2018,spring,2711,1,US,DIMI,rodent_control,unburned
2018,spring,2703,1,US,PEMA,rodent_control,unburned
2018,spring,2727,1,US,PEMA,rodent_control,unburned
2018,spring,2108,1,C2,PEMA,control,control
2018,spring,2240,1,C2,PEMA,control,control
2018,spring,2707,1,C2,PEMA,control,control
2018,spring,2176,3,C1,PEMA,control,control
2018,spring,2134,3,C1,PEMA,control,control
2018,spring,2232,3,C1,PEMA,control,control
2018,spring,2233,4,C1,PEMA,control,control
2018,spring,2753,4,C1,PEMA,control,control
2018,spring,2776,4,UN,PEMA,rodent_exclusion,unburned
2018,spring,2729,4,US,PEMA,rodent_control,unburned
2018,spring,2771,4,US,PEMA,rodent_control,unburned
2018,spring,2730,4,US,DIMI,rodent_control,unburned
2018,spring,2742,4,US,PEMA,rodent_control,unburned
2018,spring,2773,4,BN,PEMA,rodent_exclusion,burned
2018,spring,no_ears,4,US,DIOR,rodent_control,unburned
2018,spring,2770,4,C2,PEMA,control,control
2018,spring,2731,4,C2,DIMI,control,control
2018,spring,2769,4,C2,PEMA,control,control
2018,spring,2772,4,C2,DIMI,control,control
2018,spring,2767,4,C2,PEMA,control,control
2018,spring,2119,2,C2,PEMA,control,control
2018,spring,2120,2,C2,PEMA,control,control
2018,spring,2800,3,US,PAPA,rodent_control,unburned
2018,spring,2239,1,BN,PEMA,rodent_exclusion,burned
2018,spring,2227,3,BS,PEMA,rodent_control,burned
2018,spring,2720,3,BS,PEMA,rodent_control,burned
2018,spring,2280,3,UN,PEMA,rodent_exclusion,unburned
2018,spring,2231,3,BN,PEMA,rodent_exclusion,burned
2018,summer,2333,,,PEMA,control,control
2018,summer,2331,5,C1,PEMA,control,control
2018,summer,2375,5,US,DIMI,rodent_control,unburned
2018,summer,2332,5,C2,PEMA,control,control
2018,summer,2400,1,BS,DIMI,rodent_control,burned
2018,summer,2397,1,UN,PAPA,rodent_exclusion,unburned
2018,summer,2143,1,C1,DIMI,control,control
2018,summer,2398,1,C1,PAPA,control,control
2018,summer,2399,1,C1,PAPA,control,control
2018,summer,2366,1,US,PEMA,rodent_control,unburned
2018,summer,2370,1,C2,PAPA,control,control
2018,summer,2797,1,C2,DIMI,control,control
2018,summer,2368,2,US,PEMA,rodent_control,unburned
2018,summer,2369,2,C1,PEMA,control,control
2018,summer,2367,2,C1,PAPA,control,control
2018,summer,2352,3,C1,PAPA,control,control
2018,summer,2833,1,C2,PAPA,control,control
2018,summer,2398,1,C2,PAPA,control,control
2018,summer,2367,2,US,PAPA,rodent_control,unburned
2018,summer,2393,3,C1,DIMI,control,control
2018,summer,2552,3,C2,PAPA,control,control
2018,summer,2387,4,C1,PEMA,control,control
2018,summer,2317,4,C2,PEMA,control,control
2018,summer,2325,4,C2,PEMA,control,control
2018,summer,2306,4,C2,PAPA,control,control
2018,summer,2333,4,US,PEMA,rodent_control,unburned
2018,summer,2331,4,US,PEMA,rodent_control,unburned
2018,summer,2366,4,UN,PEMA,rodent_exclusion,unburned
2018,summer,2797,1,US,DIMI,rodent_control,unburned
2018,summer,2370,4,C1,PAPA,control,control
2018,summer,2522,5,C2,AMLE,control,control
2018,summer,2568,5,C2,DIOR,control,control
2018,summer,2368,5,C2,PEMA,control,control
2018,fall,2396,,,DIMI,control,control
2018,fall,2797,1,C1,DIMI,control,control
2018,fall,2735,,,PEMA,control,control
2018,fall,2143,2,C1,DIMI,control,control
2018,fall,2337,2,C2,DIMI,control,control
2018,fall,2350,3,C1,PEMA,control,control
2018,fall,2311,3,US,DIMI,rodent_control,unburned
2018,fall,2334,3,C2,DIMI,control,control
2018,fall,2174,1,BS,DIMI,rodent_control,burned
2018,fall,2197,1,C1,PEMA,control,control
2018,fall,2182,1,C1,PEMA,control,control
2018,fall,2115,1,C2,DIMI,control,control
2018,fall,2550,1,US,PEMA,rodent_control,unburned
2018,fall,2111,2,C1,PEMA,control,control
2018,fall,2161,2,C2,PEMA,control,control
2018,fall,2113,2,C2,PEMA,control,control
2018,fall,2170,2,BS,DIMI,rodent_control,burned
2018,fall,2166,2,BS,DIMI,rodent_control,burned
2018,fall,2787,3,BS,PEMA,rodent_control,burned
2018,fall,2735,5,C2,PEMA,control,control
2018,fall,2133,5,C2,PEMA,control,control
2018,fall,2741,5,BS,DIMI,rodent_control,burned
2018,fall,2710,5,US,PEMA,rodent_control,unburned
2018,fall,2228,4,BS,DIMI,rodent_control,burned
2018,fall,2739,4,C2,DIMI,control,control
2018,fall,2716,4,C2,PEMA,control,control
2018,fall,2734,2,C1,PEMA,control,control
2018,fall,2115,2,BS,DIMI,rodent_control,burned
2018,fall,2748,2,C2,AMLE,control,control
2018,fall,2737,5,C2,DIMI,control,control
2018,fall,2833,5,C2,PEMA,control,control
2018,fall,2745,5,BS,DIMI,rodent_control,burned
2018,fall,2735,5,US,PEMA,rodent_control,unburned
2018,fall,2741,,,DIMI,control,control
2018,fall,2070,1,BS,DIMI,rodent_control,burned
2018,fall,2636,1,C1,PEMA,control,control
2018,fall,2197,1,US,PEMA,rodent_control,unburned
2018,fall,2396,3,BS,DIMI,rodent_control,burned
2018,fall,2737,3,BS,PEMA,rodent_control,burned
2018,fall,2616,3,C2,PEMA,control,control
2018,fall,2615,4,C1,DIMI,control,control
2018,fall,2356,4,C1,PEMA,control,control
2018,fall,2182,4,C1,PEMA,control,control
2018,fall,2669,4,C2,DIMI,control,control
2018,fall,2739,4,US,DIMI,rodent_control,unburned
2019,spring,2394,1,US,PAPA,rodent_control,unburned
2019,spring,2758,1,US,PAPA,rodent_control,unburned
2019,spring,2340,1,C1,DIMI,control,control
2019,spring,2353,1,C2,PAPA,control,control
2019,spring,2344,1,C2,PAPA,control,control
2019,spring,2324,3,US,PEMA,rodent_control,unburned
2019,spring,2302,3,C1,PAPA,control,control
2019,spring,2607,3,C2,PEMA,control,control
2019,spring,2641,4,C2,PAPA,control,control
2019,spring,2797,4,C1,DIMI,control,control
2019,spring,2342,4,C1,DIMI,control,control
2019,spring,2474,2,BN,PEMA,rodent_exclusion,burned
2019,spring,2188,2,C1,DIOR,control,control
2019,spring,2443,2,C1,DIOR,control,control
2019,spring,2434,2,C2,PEMA,control,control
2019,spring,2490,2,BS,DIOR,rodent_control,burned
2019,spring,2495,2,BS,DIOR,rodent_control,burned
2019,spring,2492,5,C1,PAPA,control,control
2019,spring,2450,5,C1,PAPA,control,control
2019,spring,2496,5,C1,PEMA,control,control
2019,spring,2494,5,BS,DIOR,rodent_control,burned
2019,spring,2448,5,BS,DIOR,rodent_control,burned
2019,spring,2434,1,US,PEMA,rodent_control,unburned
2019,spring,2471,1,US,PEMA,rodent_control,unburned
2019,spring,2344,1,US,PAPA,rodent_control,unburned
2019,spring,2324,1,US,PEMA,rodent_control,unburned
2019,spring,2327,1,C1,DIMI,control,control
2019,spring,2540,1,C1,DIMI,control,control
2019,spring,2358,1,C1,DIMI,control,control
2019,spring,2313,4,US,PAPA,rodent_control,unburned
2019,spring,2641,4,US,PEMA,rodent_control,unburned
2019,spring,2607,2,BS,PEMA,rodent_control,burned
2019,spring,2487,2,BS,DIMI,rodent_control,burned
2019,spring,2414,2,C2,DIOR,control,control
2019,spring,2198,5,BS,DIMI,rodent_control,burned
2019,spring,2357,1,C1,PAPA,control,control
2019,spring,2322,1,C1,DIOR,control,control
2019,spring,2349,1,C1,PEMA,control,control
2019,spring,2474,1,US,PEMA,rodent_control,unburned
2019,spring,2313,1,C2,PAPA,control,control
2019,spring,2414,2,C1,DIOR,control,control
2019,spring,2390,2,BS,DIOR,rodent_control,burned
2019,spring,2481,2,BS,DIOR,rodent_control,burned
2019,spring,2434,2,UN,PEMA,rodent_exclusion,unburned
2019,spring,2607,2,C2,PEMA,control,control
2019,spring,2443,2,C2,DIOR,control,control
